SetNumber,ElementID,Qty,Colour,Category,DesignID,ElementName,ImageURL,ElementSetCount
"71234-1","6046922","1","Brick Yellow","Bricks","11477","PLATE W. BOW 1X2X2/3","/cdn/product-assets/element.img.lod5photo.192x192/6046922.jpg","130"
"71234-1","6129404","1","Brick Yellow","Minifigure Accessories","11437","Ø3.2 SHAFT CROWN FOR HELMET","/cdn/product-assets/element.img.lod5photo.192x192/6129404.jpg","1"
"71234-1","6107469","1","Bright Yellow","Minifigure Parts","20619","MINI HEAD 'NO. 1642'","/cdn/product-assets/element.img.lod5photo.192x192/6107469.jpg","9"
"71234-1","6055313","1","Dark Stone Grey","Plates","15535","FLAT TILE 2X2 ROUND W. HOLE Ã˜4.85","/cdn/product-assets/element.img.lod5photo.192x192/6055313.jpg","403"
"71234-1","6102986","1","Medium Azur","Plates","6141","PLATE 1X1 ROUND","/cdn/product-assets/element.img.lod5photo.192x192/6102986.jpg","153"
"71234-1","4211511","2","Medium Stone Grey","Bricks","4733","BRICK 1X1 W. 4 KNOBS","/cdn/cs/set/assets/bltb4055ccf56cfae29/4211511.jpg","145"
"71234-1","4211150","1","Reddish Brown","Plates","3023","PLATE 1X2","/cdn/cs/set/assets/blt8f0bdb6e9d273f41/4211150.jpg","836"
"71234-1","4504376","1","Reddish Brown","Bricks","54200","ROOF TILE 1X1X2/3, ABS","/cdn/cs/set/assets/blt8fde67adc315730c/4504376.jpg","370"
"71234-1","3006840","1","Transparent","Bricks","30068","ROUND BRICK 1 - TR","/cdn/product-assets/element.img.lod5photo.192x192/3006840.jpg","85"
"71234-1","4163917","2","Transparent Light Blue","Plates","30057","PLATE 1X1 ROUND","/cdn/product-assets/element.img.lod5photo.192x192/4163917.jpg","222"
"71234-1","4178398","1","Transparent Light Blue","Bricks","6116","BRICK 2X2 ROUND II","/cdn/product-assets/element.img.lod5photo.192x192/4178398.jpg","81"
"71234-1","6051918","2","Transparent Light Blue","Plates","6225","PLATE 1X2 - TR.","/cdn/product-assets/element.img.lod5photo.192x192/6051918.jpg","42"
"71234-1","6104392","1","Transparent Light Blue","Power Functions","18868","FUNC. CIRKLE BRICK 4X4X2/3 NO.1","/cdn/product-assets/element.img.lod5photo.192x192/6104392.jpg","43"
"71234-1","6122881","1","Transparent Light Blue","Power Functions","19981","FUNC. CIRKLE BRICK 4X4X2/3 NO.2 'NO. 23'","/cdn/product-assets/element.img.lod5photo.192x192/6122881.jpg","1"
"71234-1","4523159","2","Warm Gold","Plates","6141","PLATE 1X1 ROUND","/cdn/product-assets/element.img.lod5photo.192x192/4523159.jpg","594"
"71234-1","4646871","4","Warm Gold","Minifigure Accessories","98141","BLADE 5M W/Ø3.2","/cdn/product-assets/element.img.lod5photo.192x192/4646871.jpg","29"
"71234-1","6069887","4","Warm Gold","Plates","3024","PLATE 1X1","/cdn/product-assets/element.img.lod5photo.192x192/6069887.jpg","118"
"71234-1","6081992","1","Warm Gold","Buildings & Furniture","18274","STICK 6M W/FLANGE","/cdn/product-assets/element.img.lod5photo.192x192/6081992.jpg","27"
"71234-1","6154138","1","Warm Gold","Minifigure Accessories","24458","FIGURE, HEAD CLOTHING, NO. 7","/cdn/product-assets/element.img.lod5photo.192x192/6154138.jpg","31"
"71234-1","242001","2","White","Plates","2420","CORNER PLATE 1X2X2","/cdn/cs/set/assets/blte590124664d22432/242001.jpg","624"
"71234-1","302301","1","White","Plates","3023","PLATE 1X2","/cdn/cs/set/assets/blt16293c69ee484ecb/302301.jpg","1912"
"71234-1","362301","2","White","Plates","3623","PLATE 1X3","/cdn/cs/set/assets/blt1eca764a9f683996/362301.jpg","830"
"71234-1","4504369","3","White","Bricks","54200","ROOF TILE 1X1X2/3, ABS","/cdn/cs/set/assets/blt4f42cbd67992a99d/4504369.jpg","790"
"71234-1","4515364","1","White","Plates","60478","PLATE 1X2 W/SHAFT Ã˜3.2","/cdn/cs/set/assets/blt107a7260716fd194/4515364.jpg","297"
"71234-1","4538353","4","White","Plates","61252","PLATE 1X1 W/HOLDER VERTICAL","/cdn/cs/set/assets/blt060f9bf695c197e0/4538353.jpg","144"
"71234-1","4609289","1","White","Minifigure Accessories","93069","MINI BEARD, NO. 10","/cdn/product-assets/element.img.lod5photo.192x192/4609289.jpg","34"
"71234-1","4632566","2","White","Plates","4081","LAMP HOLDER","/cdn/cs/set/assets/bltd4efdf22ede3170e/4632566.jpg","98"
"71234-1","6032360","1","White","Animals & Nature","13564","HORN 2,5M Ø3,2 WITH SHAFT","/cdn/product-assets/element.img.lod5photo.192x192/6032360.jpg","13"
"71234-1","6051511","2","White","Plates","15573","PLATE 1X2, W/ 1 KNOB","/cdn/cs/set/assets/bltb86a951bfa26136c/6051511.jpg","821"
"71234-1","6054551","5","White","Plates","15712","PLATE 1X1 W. UP RIGHT HOLDER","/cdn/cs/set/assets/blt6359a714a984423d/6054551.jpg","83"
"71234-1","6058250","1","White","Minifigure Accessories","33125","CROISSANT","/cdn/product-assets/element.img.lod5photo.192x192/6058250.jpg","3"
"71234-1","6102776","2","White","Miscellaneous","19954","HINGE PLATE 1X2","/cdn/cs/set/assets/blt4f3b9dcc924f6546/6102776.jpg","67"
"71234-1","6117237","1","White","Minifigure Parts","21568","MINI LOWER PART 'NO. 880'","/cdn/product-assets/element.img.lod5photo.192x192/6117237.jpg","5"
"71234-1","6117567","1","White","Minifigure Parts","76382","MINI UPPER PART NO. 3031","/cdn/product-assets/element.img.lod5photo.192x192/6117567.jpg","5"




